regione,popolazione,eta,eta_class,eta_class2
Basilicata,6063,25,"[20,30)",20-29
Calabria,21328,25,"[20,30)",20-29
Sicilia,55493,25,"[20,30)",20-29
Sardegna,15035,25,"[20,30)",20-29
Trentino Alto Adige / Südtirol,11641,26,"[20,30)",20-29
P.A. Bolzano,5919,26,"[20,30)",20-29
P.A. Trento,5722,26,"[20,30)",20-29
Veneto,47442,26,"[20,30)",20-29
Friuli Venezia Giulia,10761,26,"[20,30)",20-29
Emilia-Romagna,41887,26,"[20,30)",20-29
Toscana,33652,26,"[20,30)",20-29
Umbria,8168,26,"[20,30)",20-29
Marche,14600,26,"[20,30)",20-29
Lazio,56857,26,"[20,30)",20-29
Abruzzo,13374,26,"[20,30)",20-29
Molise,3317,26,"[20,30)",20-29
Campania,69828,26,"[20,30)",20-29
Puglia,44292,26,"[20,30)",20-29
Basilicata,6165,26,"[20,30)",20-29
Calabria,22144,26,"[20,30)",20-29
Sicilia,57091,26,"[20,30)",20-29
Sardegna,15499,26,"[20,30)",20-29
Piemonte,40479,26,"[20,30)",20-29
Valle d'Aosta,1136,26,"[20,30)",20-29
Liguria,13579,26,"[20,30)",20-29
Lombardia,98414,26,"[20,30)",20-29
Piemonte,41959,27,"[20,30)",20-29
Valle d'Aosta,1233,27,"[20,30)",20-29
Liguria,14327,27,"[20,30)",20-29
Lombardia,102237,27,"[20,30)",20-29
Trentino Alto Adige / Südtirol,12080,27,"[20,30)",20-29
P.A. Bolzano,6097,27,"[20,30)",20-29
P.A. Trento,5983,27,"[20,30)",20-29
Veneto,49338,27,"[20,30)",20-29
Friuli Venezia Giulia,11415,27,"[20,30)",20-29
Emilia-Romagna,44397,27,"[20,30)",20-29
Toscana,35574,27,"[20,30)",20-29
Umbria,8604,27,"[20,30)",20-29
Marche,15201,27,"[20,30)",20-29
Lazio,59566,27,"[20,30)",20-29
Abruzzo,13928,27,"[20,30)",20-29
Molise,3427,27,"[20,30)",20-29
Campania,72654,27,"[20,30)",20-29
Puglia,46038,27,"[20,30)",20-29
Basilicata,6635,27,"[20,30)",20-29
Calabria,22754,27,"[20,30)",20-29
Sicilia,59222,27,"[20,30)",20-29
Sardegna,16153,27,"[20,30)",20-29
Piemonte,42306,28,"[20,30)",20-29
Valle d'Aosta,1196,28,"[20,30)",20-29
Liguria,14093,28,"[20,30)",20-29
Lombardia,103414,28,"[20,30)",20-29
Trentino Alto Adige / Südtirol,12075,28,"[20,30)",20-29
P.A. Bolzano,6218,28,"[20,30)",20-29
Veneto,49235,28,"[20,30)",20-29
Abruzzo,13842,28,"[20,30)",20-29
Molise,3396,28,"[20,30)",20-29
Campania,71820,28,"[20,30)",20-29
Puglia,45130,28,"[20,30)",20-29
Basilicata,6473,28,"[20,30)",20-29
Calabria,22573,28,"[20,30)",20-29
Sicilia,58164,28,"[20,30)",20-29
Sardegna,16480,28,"[20,30)",20-29
P.A. Trento,5857,28,"[20,30)",20-29
Friuli Venezia Giulia,11561,28,"[20,30)",20-29
Emilia-Romagna,44978,28,"[20,30)",20-29
Toscana,35477,28,"[20,30)",20-29
Umbria,8484,28,"[20,30)",20-29
Marche,15155,28,"[20,30)",20-29
Lazio,59161,28,"[20,30)",20-29
Basilicata,6707,29,"[20,30)",20-29
Calabria,23144,29,"[20,30)",20-29
Piemonte,43501,29,"[20,30)",20-29
Valle d'Aosta,1268,29,"[20,30)",20-29
Liguria,14200,29,"[20,30)",20-29
Lombardia,106567,29,"[20,30)",20-29
Trentino Alto Adige / Südtirol,12174,29,"[20,30)",20-29
P.A. Bolzano,6242,29,"[20,30)",20-29
P.A. Trento,5932,29,"[20,30)",20-29
Veneto,50365,29,"[20,30)",20-29
Friuli Venezia Giulia,11698,29,"[20,30)",20-29
Emilia-Romagna,46319,29,"[20,30)",20-29
Toscana,37254,29,"[20,30)",20-29
Umbria,8722,29,"[20,30)",20-29
Marche,15551,29,"[20,30)",20-29
Lazio,61170,29,"[20,30)",20-29
Abruzzo,14063,29,"[20,30)",20-29
Molise,3342,29,"[20,30)",20-29
Sicilia,58539,29,"[20,30)",20-29
Sardegna,17026,29,"[20,30)",20-29
Campania,71252,29,"[20,30)",20-29
Puglia,44931,29,"[20,30)",20-29
Lombardia,107554,30,"[30,40)",30-39
Trentino Alto Adige / Südtirol,12025,30,"[30,40)",30-39
P.A. Bolzano,6158,30,"[30,40)",30-39
P.A. Trento,5867,30,"[30,40)",30-39
Veneto,50132,30,"[30,40)",30-39
Friuli Venezia Giulia,11701,30,"[30,40)",30-39
Emilia-Romagna,46150,30,"[30,40)",30-39
Toscana,36930,30,"[30,40)",30-39
Umbria,8918,30,"[30,40)",30-39
Marche,15367,30,"[30,40)",30-39
Lazio,61510,30,"[30,40)",30-39
Abruzzo,14136,30,"[30,40)",30-39
Molise,3349,30,"[30,40)",30-39
Campania,70782,30,"[30,40)",30-39
Puglia,44417,30,"[30,40)",30-39
Basilicata,6498,30,"[30,40)",30-39
Calabria,23414,30,"[30,40)",30-39
Sicilia,58537,30,"[30,40)",30-39
Sardegna,16982,30,"[30,40)",30-39
Liguria,14198,30,"[30,40)",30-39
Piemonte,42914,30,"[30,40)",30-39
Valle d'Aosta,1238,30,"[30,40)",30-39
Trentino Alto Adige / Südtirol,12092,31,"[30,40)",30-39
P.A. Bolzano,6097,31,"[30,40)",30-39
Liguria,14540,31,"[30,40)",30-39
Valle d'Aosta,1281,31,"[30,40)",30-39
Veneto,51262,31,"[30,40)",30-39
Lombardia,110812,31,"[30,40)",30-39
Friuli Venezia Giulia,12010,31,"[30,40)",30-39
P.A. Trento,5995,31,"[30,40)",30-39
Emilia-Romagna,46883,31,"[30,40)",30-39
Toscana,38395,31,"[30,40)",30-39
Umbria,9336,31,"[30,40)",30-39
Marche,15725,31,"[30,40)",30-39
Lazio,63705,31,"[30,40)",30-39
Abruzzo,14409,31,"[30,40)",30-39
Molise,3386,31,"[30,40)",30-39
Campania,71677,31,"[30,40)",30-39
Puglia,45508,31,"[30,40)",30-39
Basilicata,6504,31,"[30,40)",30-39
Calabria,23922,31,"[30,40)",30-39
Sicilia,58784,31,"[30,40)",30-39
Sardegna,17235,31,"[30,40)",30-39
Piemonte,44185,31,"[30,40)",30-39
Valle d'Aosta,1241,32,"[30,40)",30-39
Liguria,14198,32,"[30,40)",30-39
Lombardia,109093,32,"[30,40)",30-39
Trentino Alto Adige / Südtirol,11897,32,"[30,40)",30-39
P.A. Bolzano,5920,32,"[30,40)",30-39
Veneto,49585,32,"[30,40)",30-39
P.A. Trento,5977,32,"[30,40)",30-39
Friuli Venezia Giulia,11537,32,"[30,40)",30-39
Emilia-Romagna,46864,32,"[30,40)",30-39
Toscana,37573,32,"[30,40)",30-39
Umbria,9027,32,"[30,40)",30-39
Marche,15373,32,"[30,40)",30-39
Lazio,63408,32,"[30,40)",30-39
Sicilia,57281,32,"[30,40)",30-39
Sardegna,17404,32,"[30,40)",30-39
Piemonte,43190,32,"[30,40)",30-39
Abruzzo,14156,32,"[30,40)",30-39
Molise,3428,32,"[30,40)",30-39
Puglia,44564,32,"[30,40)",30-39
Campania,69391,32,"[30,40)",30-39
Basilicata,6418,32,"[30,40)",30-39
Calabria,23467,32,"[30,40)",30-39
Piemonte,43888,33,"[30,40)",30-39
Valle d'Aosta,1244,33,"[30,40)",30-39
Liguria,14100,33,"[30,40)",30-39
Lombardia,110118,33,"[30,40)",30-39
Trentino Alto Adige / Südtirol,11923,33,"[30,40)",30-39
P.A. Bolzano,6050,33,"[30,40)",30-39
P.A. Trento,5873,33,"[30,40)",30-39
Veneto,50111,33,"[30,40)",30-39
Friuli Venezia Giulia,11856,33,"[30,40)",30-39
Emilia-Romagna,47438,33,"[30,40)",30-39
Toscana,37676,33,"[30,40)",30-39
Umbria,9190,33,"[30,40)",30-39
Marche,15931,33,"[30,40)",30-39
Lazio,63823,33,"[30,40)",30-39
Abruzzo,14547,33,"[30,40)",30-39
Molise,3340,33,"[30,40)",30-39
Campania,68832,33,"[30,40)",30-39
Puglia,44199,33,"[30,40)",30-39
Basilicata,6253,33,"[30,40)",30-39
Calabria,23184,33,"[30,40)",30-39
Sicilia,57332,33,"[30,40)",30-39
Sardegna,17417,33,"[30,40)",30-39
Emilia-Romagna,49328,34,"[30,40)",30-39
Toscana,39462,34,"[30,40)",30-39
Marche,16290,34,"[30,40)",30-39
Lazio,66870,34,"[30,40)",30-39
Abruzzo,14947,34,"[30,40)",30-39
Molise,3438,34,"[30,40)",30-39
Campania,70390,34,"[30,40)",30-39
Piemonte,45113,34,"[30,40)",30-39
Umbria,9496,34,"[30,40)",30-39
Puglia,44234,34,"[30,40)",30-39
Basilicata,6513,34,"[30,40)",30-39
Calabria,23295,34,"[30,40)",30-39
Sicilia,57824,34,"[30,40)",30-39
Sardegna,18119,34,"[30,40)",30-39
Trentino Alto Adige / Südtirol,12209,34,"[30,40)",30-39
Valle d'Aosta,1299,34,"[30,40)",30-39
P.A. Trento,6031,34,"[30,40)",30-39
Liguria,14741,34,"[30,40)",30-39
Friuli Venezia Giulia,12394,34,"[30,40)",30-39
P.A. Bolzano,6178,34,"[30,40)",30-39
Lombardia,113852,34,"[30,40)",30-39
Veneto,52727,34,"[30,40)",30-39
Piemonte,45395,35,"[30,40)",30-39
Valle d'Aosta,1310,35,"[30,40)",30-39
Liguria,14620,35,"[30,40)",30-39
Lombardia,116544,35,"[30,40)",30-39
Trentino Alto Adige / Südtirol,12264,35,"[30,40)",30-39
P.A. Bolzano,6180,35,"[30,40)",30-39
P.A. Trento,6084,35,"[30,40)",30-39
Veneto,52812,35,"[30,40)",30-39
Friuli Venezia Giulia,12598,35,"[30,40)",30-39
Emilia-Romagna,50482,35,"[30,40)",30-39
Toscana,40126,35,"[30,40)",30-39
Umbria,9619,35,"[30,40)",30-39
Marche,16481,35,"[30,40)",30-39
Lazio,69063,35,"[30,40)",30-39
Abruzzo,15232,35,"[30,40)",30-39
Molise,3427,35,"[30,40)",30-39
Campania,71437,35,"[30,40)",30-39
Puglia,45872,35,"[30,40)",30-39
Basilicata,6639,35,"[30,40)",30-39
Calabria,23663,35,"[30,40)",30-39
Sicilia,58992,35,"[30,40)",30-39
Sardegna,18438,35,"[30,40)",30-39
Piemonte,46805,36,"[30,40)",30-39
Liguria,15011,36,"[30,40)",30-39
P.A. Trento,6273,36,"[30,40)",30-39
Molise,3479,36,"[30,40)",30-39
Campania,72005,36,"[30,40)",30-39
Puglia,46187,36,"[30,40)",30-39
Basilicata,6540,36,"[30,40)",30-39
Calabria,23522,36,"[30,40)",30-39
Sicilia,58231,36,"[30,40)",30-39
Sardegna,18942,36,"[30,40)",30-39
Valle d'Aosta,1383,36,"[30,40)",30-39
Lombardia,119588,36,"[30,40)",30-39
Trentino Alto Adige / Südtirol,12629,36,"[30,40)",30-39
P.A. Bolzano,6356,36,"[30,40)",30-39
Veneto,53983,36,"[30,40)",30-39
Friuli Venezia Giulia,12650,36,"[30,40)",30-39
Emilia-Romagna,51621,36,"[30,40)",30-39
Toscana,41282,36,"[30,40)",30-39
Umbria,10280,36,"[30,40)",30-39
Marche,17006,36,"[30,40)",30-39
Lazio,70605,36,"[30,40)",30-39
Abruzzo,15229,36,"[30,40)",30-39
Umbria,10214,37,"[30,40)",30-39
Marche,17745,37,"[30,40)",30-39
Lazio,73521,37,"[30,40)",30-39
Puglia,47711,37,"[30,40)",30-39
Piemonte,48704,37,"[30,40)",30-39
Valle d'Aosta,1409,37,"[30,40)",30-39
Liguria,14994,37,"[30,40)",30-39
Lombardia,124112,37,"[30,40)",30-39
Trentino Alto Adige / Südtirol,13059,37,"[30,40)",30-39
P.A. Bolzano,6715,37,"[30,40)",30-39
P.A. Trento,6344,37,"[30,40)",30-39
Veneto,56135,37,"[30,40)",30-39
Friuli Venezia Giulia,13386,37,"[30,40)",30-39
Emilia-Romagna,53200,37,"[30,40)",30-39
Toscana,42516,37,"[30,40)",30-39
Abruzzo,15931,37,"[30,40)",30-39
Molise,3583,37,"[30,40)",30-39
Campania,73816,37,"[30,40)",30-39
Basilicata,6627,37,"[30,40)",30-39
Calabria,23993,37,"[30,40)",30-39
Sicilia,60130,37,"[30,40)",30-39
Sardegna,19990,37,"[30,40)",30-39
Abruzzo,15835,38,"[30,40)",30-39
Molise,3645,38,"[30,40)",30-39
Campania,72941,38,"[30,40)",30-39
Puglia,48430,38,"[30,40)",30-39
Basilicata,6599,38,"[30,40)",30-39
Calabria,23949,38,"[30,40)",30-39
Sicilia,60229,38,"[30,40)",30-39
Sardegna,20050,38,"[30,40)",30-39
Piemonte,48902,38,"[30,40)",30-39
Valle d'Aosta,1329,38,"[30,40)",30-39
Liguria,15667,38,"[30,40)",30-39
Lombardia,124995,38,"[30,40)",30-39
Trentino Alto Adige / Südtirol,12956,38,"[30,40)",30-39
P.A. Bolzano,6746,38,"[30,40)",30-39
P.A. Trento,6210,38,"[30,40)",30-39
Veneto,57256,38,"[30,40)",30-39
Friuli Venezia Giulia,13489,38,"[30,40)",30-39
Emilia-Romagna,53613,38,"[30,40)",30-39
Toscana,43111,38,"[30,40)",30-39
Umbria,10491,38,"[30,40)",30-39
Marche,17844,38,"[30,40)",30-39
Lazio,74362,38,"[30,40)",30-39
Piemonte,50271,39,"[30,40)",30-39
Valle d'Aosta,1440,39,"[30,40)",30-39
Liguria,15533,39,"[30,40)",30-39
Lombardia,127531,39,"[30,40)",30-39
Trentino Alto Adige / Südtirol,13135,39,"[30,40)",30-39
P.A. Bolzano,6727,39,"[30,40)",30-39
P.A. Trento,6408,39,"[30,40)",30-39
Veneto,58838,39,"[30,40)",30-39
Friuli Venezia Giulia,14008,39,"[30,40)",30-39
Emilia-Romagna,55662,39,"[30,40)",30-39
Toscana,44417,39,"[30,40)",30-39
Umbria,10592,39,"[30,40)",30-39
Marche,18625,39,"[30,40)",30-39
Lazio,75841,39,"[30,40)",30-39
Abruzzo,16291,39,"[30,40)",30-39
Molise,3586,39,"[30,40)",30-39
Campania,73987,39,"[30,40)",30-39
Puglia,49839,39,"[30,40)",30-39
Basilicata,6613,39,"[30,40)",30-39
Sicilia,62407,39,"[30,40)",30-39
Calabria,24259,39,"[30,40)",30-39
Sardegna,20855,39,"[30,40)",30-39
Toscana,46583,40,"[40,50)",40-49
Emilia-Romagna,57998,40,"[40,50)",40-49
Abruzzo,16930,40,"[40,50)",40-49
Lazio,78238,40,"[40,50)",40-49
Piemonte,51568,40,"[40,50)",40-49
Valle d'Aosta,1424,40,"[40,50)",40-49
Liguria,16270,40,"[40,50)",40-49
Lombardia,130774,40,"[40,50)",40-49
Trentino Alto Adige / Südtirol,13179,40,"[40,50)",40-49
P.A. Bolzano,6593,40,"[40,50)",40-49
P.A. Trento,6586,40,"[40,50)",40-49
Veneto,61341,40,"[40,50)",40-49
Friuli Venezia Giulia,14391,40,"[40,50)",40-49
Umbria,11014,40,"[40,50)",40-49
Marche,19450,40,"[40,50)",40-49
Molise,3797,40,"[40,50)",40-49
Campania,75640,40,"[40,50)",40-49
Puglia,52533,40,"[40,50)",40-49
Basilicata,6768,40,"[40,50)",40-49
Calabria,24826,40,"[40,50)",40-49
Sicilia,63097,40,"[40,50)",40-49
Sardegna,21050,40,"[40,50)",40-49
Piemonte,55153,41,"[40,50)",40-49
Valle d'Aosta,1708,41,"[40,50)",40-49
Liguria,17586,41,"[40,50)",40-49
Lombardia,138105,41,"[40,50)",40-49
Trentino Alto Adige / Südtirol,13883,41,"[40,50)",40-49
P.A. Bolzano,6778,41,"[40,50)",40-49
P.A. Trento,7105,41,"[40,50)",40-49
Veneto,65589,41,"[40,50)",40-49
Friuli Venezia Giulia,15664,41,"[40,50)",40-49
Emilia-Romagna,61720,41,"[40,50)",40-49
Toscana,49404,41,"[40,50)",40-49
Umbria,11605,41,"[40,50)",40-49
Marche,20699,41,"[40,50)",40-49
Lazio,82513,41,"[40,50)",40-49
Abruzzo,17594,41,"[40,50)",40-49
Molise,3902,41,"[40,50)",40-49
Puglia,54289,41,"[40,50)",40-49
Basilicata,7219,41,"[40,50)",40-49
Calabria,25160,41,"[40,50)",40-49
Campania,77715,41,"[40,50)",40-49
Sicilia,64894,41,"[40,50)",40-49
Sardegna,23090,41,"[40,50)",40-49
Friuli Venezia Giulia,15915,42,"[40,50)",40-49
Emilia-Romagna,64322,42,"[40,50)",40-49
Toscana,51276,42,"[40,50)",40-49
Piemonte,58102,42,"[40,50)",40-49
Valle d'Aosta,1659,42,"[40,50)",40-49
Liguria,18607,42,"[40,50)",40-49
Lombardia,144006,42,"[40,50)",40-49
Trentino Alto Adige / Südtirol,13980,42,"[40,50)",40-49
P.A. Bolzano,6752,42,"[40,50)",40-49
P.A. Trento,7228,42,"[40,50)",40-49
Veneto,68034,42,"[40,50)",40-49
Umbria,12087,42,"[40,50)",40-49
Marche,21294,42,"[40,50)",40-49
Lazio,84090,42,"[40,50)",40-49
Abruzzo,17738,42,"[40,50)",40-49
Molise,3963,42,"[40,50)",40-49
Campania,79245,42,"[40,50)",40-49
Puglia,56482,42,"[40,50)",40-49
Basilicata,7361,42,"[40,50)",40-49
Calabria,25690,42,"[40,50)",40-49
Sicilia,65838,42,"[40,50)",40-49
Sardegna,23517,42,"[40,50)",40-49
Piemonte,60774,43,"[40,50)",40-49
Valle d'Aosta,1782,43,"[40,50)",40-49
Liguria,19788,43,"[40,50)",40-49
Lombardia,149545,43,"[40,50)",40-49
Trentino Alto Adige / Südtirol,14547,43,"[40,50)",40-49
P.A. Bolzano,6958,43,"[40,50)",40-49
P.A. Trento,7589,43,"[40,50)",40-49
Veneto,71149,43,"[40,50)",40-49
Friuli Venezia Giulia,16874,43,"[40,50)",40-49
Emilia-Romagna,67516,43,"[40,50)",40-49
Toscana,53755,43,"[40,50)",40-49
Marche,21904,43,"[40,50)",40-49
Umbria,12424,43,"[40,50)",40-49
Lazio,87658,43,"[40,50)",40-49
Abruzzo,18493,43,"[40,50)",40-49
Molise,4066,43,"[40,50)",40-49
Campania,82208,43,"[40,50)",40-49
Puglia,58656,43,"[40,50)",40-49
Basilicata,7870,43,"[40,50)",40-49
Calabria,26939,43,"[40,50)",40-49
Sicilia,69048,43,"[40,50)",40-49
Sardegna,24468,43,"[40,50)",40-49
Piemonte,64456,44,"[40,50)",40-49
Valle d'Aosta,1841,44,"[40,50)",40-49
Liguria,21177,44,"[40,50)",40-49
Lombardia,159303,44,"[40,50)",40-49
Abruzzo,19005,44,"[40,50)",40-49
Molise,4324,44,"[40,50)",40-49
Campania,85009,44,"[40,50)",40-49
Puglia,60241,44,"[40,50)",40-49
Basilicata,7989,44,"[40,50)",40-49
Calabria,26861,44,"[40,50)",40-49
Sicilia,70808,44,"[40,50)",40-49
Sardegna,25721,44,"[40,50)",40-49
Trentino Alto Adige / Südtirol,15311,44,"[40,50)",40-49
P.A. Bolzano,7433,44,"[40,50)",40-49
P.A. Trento,7878,44,"[40,50)",40-49
Veneto,74794,44,"[40,50)",40-49
Friuli Venezia Giulia,17871,44,"[40,50)",40-49
Emilia-Romagna,70994,44,"[40,50)",40-49
Toscana,56570,44,"[40,50)",40-49
Umbria,13041,44,"[40,50)",40-49
Marche,23021,44,"[40,50)",40-49
Lazio,92094,44,"[40,50)",40-49
Piemonte,67320,45,"[40,50)",40-49
Toscana,59349,45,"[40,50)",40-49
Valle d'Aosta,1955,45,"[40,50)",40-49
Umbria,13644,45,"[40,50)",40-49
Liguria,22576,45,"[40,50)",40-49
Lombardia,164177,45,"[40,50)",40-49
Trentino Alto Adige / Südtirol,16229,45,"[40,50)",40-49
P.A. Bolzano,7881,45,"[40,50)",40-49
P.A. Trento,8348,45,"[40,50)",40-49
Veneto,79530,45,"[40,50)",40-49
Friuli Venezia Giulia,19320,45,"[40,50)",40-49
Emilia-Romagna,74067,45,"[40,50)",40-49
Marche,23585,45,"[40,50)",40-49
Lazio,95799,45,"[40,50)",40-49
Abruzzo,19819,45,"[40,50)",40-49
Molise,4499,45,"[40,50)",40-49
Campania,87943,45,"[40,50)",40-49
Puglia,61782,45,"[40,50)",40-49
Basilicata,8189,45,"[40,50)",40-49
Calabria,27183,45,"[40,50)",40-49
Sicilia,73357,45,"[40,50)",40-49
Sardegna,26868,45,"[40,50)",40-49
Trentino Alto Adige / Südtirol,16272,46,"[40,50)",40-49
P.A. Bolzano,7970,46,"[40,50)",40-49
P.A. Trento,8302,46,"[40,50)",40-49
Veneto,78989,46,"[40,50)",40-49
Friuli Venezia Giulia,19133,46,"[40,50)",40-49
Emilia-Romagna,74043,46,"[40,50)",40-49
Toscana,59592,46,"[40,50)",40-49
Umbria,13561,46,"[40,50)",40-49
Marche,23247,46,"[40,50)",40-49
Lazio,95794,46,"[40,50)",40-49
Abruzzo,19575,46,"[40,50)",40-49
Molise,4340,46,"[40,50)",40-49
Campania,86661,46,"[40,50)",40-49
Puglia,59871,46,"[40,50)",40-49
Basilicata,8059,46,"[40,50)",40-49
Calabria,27117,46,"[40,50)",40-49
Sicilia,72020,46,"[40,50)",40-49
Sardegna,26881,46,"[40,50)",40-49
Piemonte,68869,47,"[40,50)",40-49
Valle d'Aosta,2017,47,"[40,50)",40-49
Liguria,24222,47,"[40,50)",40-49
Lombardia,165437,47,"[40,50)",40-49
Trentino Alto Adige / Südtirol,16513,47,"[40,50)",40-49
P.A. Bolzano,8319,47,"[40,50)",40-49
P.A. Trento,8194,47,"[40,50)",40-49
Veneto,80178,47,"[40,50)",40-49
Friuli Venezia Giulia,19738,47,"[40,50)",40-49
Emilia-Romagna,74226,47,"[40,50)",40-49
Toscana,60095,47,"[40,50)",40-49
Umbria,13400,47,"[40,50)",40-49
Marche,23494,47,"[40,50)",40-49
Lazio,96772,47,"[40,50)",40-49
Abruzzo,20194,47,"[40,50)",40-49
Molise,4457,47,"[40,50)",40-49
Campania,87234,47,"[40,50)",40-49
Puglia,58990,47,"[40,50)",40-49
Basilicata,8244,47,"[40,50)",40-49
Calabria,27347,47,"[40,50)",40-49
Sicilia,72415,47,"[40,50)",40-49
Sardegna,26575,47,"[40,50)",40-49
Piemonte,69993,48,"[40,50)",40-49
Valle d'Aosta,2102,48,"[40,50)",40-49
Liguria,24490,48,"[40,50)",40-49
Lombardia,165584,48,"[40,50)",40-49
Trentino Alto Adige / Südtirol,17076,48,"[40,50)",40-49
P.A. Bolzano,8499,48,"[40,50)",40-49
P.A. Trento,8577,48,"[40,50)",40-49
Veneto,81203,48,"[40,50)",40-49
Friuli Venezia Giulia,19782,48,"[40,50)",40-49
Emilia-Romagna,74728,48,"[40,50)",40-49
Toscana,60564,48,"[40,50)",40-49
Umbria,13633,48,"[40,50)",40-49
Marche,24262,48,"[40,50)",40-49
Lazio,96727,48,"[40,50)",40-49
Abruzzo,20558,48,"[40,50)",40-49
Molise,4428,48,"[40,50)",40-49
Campania,87685,48,"[40,50)",40-49
Puglia,60408,48,"[40,50)",40-49
Basilicata,8326,48,"[40,50)",40-49
Calabria,27763,48,"[40,50)",40-49
Sicilia,73849,48,"[40,50)",40-49
Sardegna,26547,48,"[40,50)",40-49
Piemonte,67215,46,"[40,50)",40-49
Valle d'Aosta,2003,46,"[40,50)",40-49
Liguria,22990,46,"[40,50)",40-49
Lombardia,164021,46,"[40,50)",40-49
Piemonte,69295,49,"[40,50)",40-49
Valle d'Aosta,2064,49,"[40,50)",40-49
Liguria,24664,49,"[40,50)",40-49
Lombardia,164121,49,"[40,50)",40-49
Trentino Alto Adige / Südtirol,16762,49,"[40,50)",40-49
P.A. Bolzano,8481,49,"[40,50)",40-49
P.A. Trento,8281,49,"[40,50)",40-49
Veneto,81245,49,"[40,50)",40-49
Friuli Venezia Giulia,19989,49,"[40,50)",40-49
Emilia-Romagna,73698,49,"[40,50)",40-49
Toscana,59479,49,"[40,50)",40-49
Umbria,13423,49,"[40,50)",40-49
Marche,23494,49,"[40,50)",40-49
Lazio,96643,49,"[40,50)",40-49
Abruzzo,20154,49,"[40,50)",40-49
Molise,4438,49,"[40,50)",40-49
Campania,86257,49,"[40,50)",40-49
Puglia,60040,49,"[40,50)",40-49
Basilicata,8442,49,"[40,50)",40-49
Calabria,27531,49,"[40,50)",40-49
Sicilia,73113,49,"[40,50)",40-49
Sardegna,26213,49,"[40,50)",40-49
Toscana,61065,50,"[50,60)",50-59
Umbria,13860,50,"[50,60)",50-59
Marche,24388,50,"[50,60)",50-59
Lazio,97972,50,"[50,60)",50-59
Abruzzo,21054,50,"[50,60)",50-59
Molise,4683,50,"[50,60)",50-59
Campania,88559,50,"[50,60)",50-59
Basilicata,8681,50,"[50,60)",50-59
Calabria,29051,50,"[50,60)",50-59
Sicilia,75468,50,"[50,60)",50-59
Sardegna,27069,50,"[50,60)",50-59
Piemonte,71752,50,"[50,60)",50-59
Valle d'Aosta,2201,50,"[50,60)",50-59
Liguria,25246,50,"[50,60)",50-59
Lombardia,168262,50,"[50,60)",50-59
