regione,popolazione,eta,eta_class,eta_class2
Trentino Alto Adige / Südtirol,17634,50,"[50,60)",50-59
P.A. Bolzano,8896,50,"[50,60)",50-59
P.A. Trento,8738,50,"[50,60)",50-59
Veneto,83349,50,"[50,60)",50-59
Friuli Venezia Giulia,20071,50,"[50,60)",50-59
Emilia-Romagna,74376,50,"[50,60)",50-59
Puglia,61584,50,"[50,60)",50-59
Piemonte,71239,51,"[50,60)",50-59
Valle d'Aosta,2112,51,"[50,60)",50-59
Liguria,25485,51,"[50,60)",50-59
Lombardia,167340,51,"[50,60)",50-59
Trentino Alto Adige / Südtirol,17477,51,"[50,60)",50-59
P.A. Bolzano,8770,51,"[50,60)",50-59
P.A. Trento,8707,51,"[50,60)",50-59
Veneto,82398,51,"[50,60)",50-59
Friuli Venezia Giulia,19983,51,"[50,60)",50-59
Emilia-Romagna,73973,51,"[50,60)",50-59
Toscana,60195,51,"[50,60)",50-59
Umbria,13812,51,"[50,60)",50-59
Marche,24050,51,"[50,60)",50-59
Lazio,96850,51,"[50,60)",50-59
Abruzzo,20872,51,"[50,60)",50-59
Molise,4695,51,"[50,60)",50-59
Campania,88490,51,"[50,60)",50-59
Puglia,61788,51,"[50,60)",50-59
Basilicata,8756,51,"[50,60)",50-59
Calabria,28619,51,"[50,60)",50-59
Sicilia,74499,51,"[50,60)",50-59
Sardegna,26348,51,"[50,60)",50-59
Piemonte,71191,52,"[50,60)",50-59
Valle d'Aosta,2175,52,"[50,60)",50-59
Liguria,25351,52,"[50,60)",50-59
Lombardia,166682,52,"[50,60)",50-59
Trentino Alto Adige / Südtirol,17416,52,"[50,60)",50-59
P.A. Bolzano,8578,52,"[50,60)",50-59
P.A. Trento,8838,52,"[50,60)",50-59
Veneto,83014,52,"[50,60)",50-59
Friuli Venezia Giulia,20217,52,"[50,60)",50-59
Emilia-Romagna,72843,52,"[50,60)",50-59
Toscana,60599,52,"[50,60)",50-59
Umbria,13653,52,"[50,60)",50-59
Marche,24125,52,"[50,60)",50-59
Lazio,96901,52,"[50,60)",50-59
Abruzzo,21060,52,"[50,60)",50-59
Molise,4821,52,"[50,60)",50-59
Campania,89510,52,"[50,60)",50-59
Puglia,62572,52,"[50,60)",50-59
Basilicata,9022,52,"[50,60)",50-59
Calabria,28953,52,"[50,60)",50-59
Sicilia,75229,52,"[50,60)",50-59
Sardegna,27194,52,"[50,60)",50-59
Piemonte,71724,53,"[50,60)",50-59
Valle d'Aosta,2203,53,"[50,60)",50-59
Liguria,26340,53,"[50,60)",50-59
Lombardia,169652,53,"[50,60)",50-59
Trentino Alto Adige / Südtirol,17784,53,"[50,60)",50-59
P.A. Bolzano,8818,53,"[50,60)",50-59
P.A. Trento,8966,53,"[50,60)",50-59
Veneto,83653,53,"[50,60)",50-59
Friuli Venezia Giulia,20257,53,"[50,60)",50-59
Emilia-Romagna,73514,53,"[50,60)",50-59
Toscana,61360,53,"[50,60)",50-59
Umbria,13660,53,"[50,60)",50-59
Marche,24284,53,"[50,60)",50-59
Lazio,97282,53,"[50,60)",50-59
Abruzzo,21245,53,"[50,60)",50-59
Molise,4886,53,"[50,60)",50-59
Campania,90043,53,"[50,60)",50-59
Puglia,63011,53,"[50,60)",50-59
Basilicata,8759,53,"[50,60)",50-59
Calabria,29047,53,"[50,60)",50-59
Sicilia,74688,53,"[50,60)",50-59
Sardegna,27423,53,"[50,60)",50-59
Piemonte,71373,54,"[50,60)",50-59
Valle d'Aosta,2113,54,"[50,60)",50-59
Liguria,26833,54,"[50,60)",50-59
Lombardia,168236,54,"[50,60)",50-59
Trentino Alto Adige / Südtirol,17909,54,"[50,60)",50-59
P.A. Bolzano,8836,54,"[50,60)",50-59
P.A. Trento,9073,54,"[50,60)",50-59
Veneto,83635,54,"[50,60)",50-59
Friuli Venezia Giulia,20487,54,"[50,60)",50-59
Emilia-Romagna,72467,54,"[50,60)",50-59
Toscana,61325,54,"[50,60)",50-59
Umbria,14170,54,"[50,60)",50-59
Marche,24160,54,"[50,60)",50-59
Lazio,97103,54,"[50,60)",50-59
Abruzzo,21272,54,"[50,60)",50-59
Molise,4884,54,"[50,60)",50-59
Campania,89931,54,"[50,60)",50-59
Puglia,63002,54,"[50,60)",50-59
Basilicata,8917,54,"[50,60)",50-59
Calabria,28804,54,"[50,60)",50-59
Sicilia,74090,54,"[50,60)",50-59
Sardegna,27344,54,"[50,60)",50-59
Piemonte,72421,55,"[50,60)",50-59
Valle d'Aosta,2262,55,"[50,60)",50-59
Liguria,27047,55,"[50,60)",50-59
Lombardia,166957,55,"[50,60)",50-59
Trentino Alto Adige / Südtirol,17823,55,"[50,60)",50-59
P.A. Trento,9053,55,"[50,60)",50-59
Veneto,84302,55,"[50,60)",50-59
Friuli Venezia Giulia,20824,55,"[50,60)",50-59
Emilia-Romagna,73674,55,"[50,60)",50-59
Toscana,61888,55,"[50,60)",50-59
P.A. Bolzano,8770,55,"[50,60)",50-59
Umbria,14230,55,"[50,60)",50-59
Marche,24853,55,"[50,60)",50-59
Lazio,98595,55,"[50,60)",50-59
Abruzzo,21378,55,"[50,60)",50-59
Molise,5053,55,"[50,60)",50-59
Campania,91751,55,"[50,60)",50-59
Puglia,63905,55,"[50,60)",50-59
Basilicata,9227,55,"[50,60)",50-59
Calabria,30062,55,"[50,60)",50-59
Sicilia,76013,55,"[50,60)",50-59
Sardegna,27906,55,"[50,60)",50-59
Friuli Venezia Giulia,19748,56,"[50,60)",50-59
Emilia-Romagna,68878,56,"[50,60)",50-59
Toscana,57768,56,"[50,60)",50-59
Umbria,13330,56,"[50,60)",50-59
Marche,23517,56,"[50,60)",50-59
Lazio,92261,56,"[50,60)",50-59
Piemonte,67550,56,"[50,60)",50-59
Valle d'Aosta,2078,56,"[50,60)",50-59
Liguria,25426,56,"[50,60)",50-59
Lombardia,155897,56,"[50,60)",50-59
Trentino Alto Adige / Südtirol,16696,56,"[50,60)",50-59
P.A. Bolzano,8200,56,"[50,60)",50-59
P.A. Trento,8496,56,"[50,60)",50-59
Veneto,78942,56,"[50,60)",50-59
Abruzzo,20132,56,"[50,60)",50-59
Molise,4694,56,"[50,60)",50-59
Campania,85981,56,"[50,60)",50-59
Puglia,59288,56,"[50,60)",50-59
Basilicata,8721,56,"[50,60)",50-59
Calabria,28373,56,"[50,60)",50-59
Sicilia,71871,56,"[50,60)",50-59
Sardegna,26674,56,"[50,60)",50-59
Toscana,55650,57,"[50,60)",50-59
Umbria,12955,57,"[50,60)",50-59
Marche,22386,57,"[50,60)",50-59
Lazio,88179,57,"[50,60)",50-59
Abruzzo,19393,57,"[50,60)",50-59
Molise,4566,57,"[50,60)",50-59
Campania,83901,57,"[50,60)",50-59
Puglia,57748,57,"[50,60)",50-59
Basilicata,8800,57,"[50,60)",50-59
Calabria,28281,57,"[50,60)",50-59
Sicilia,71584,57,"[50,60)",50-59
Sardegna,25997,57,"[50,60)",50-59
Piemonte,65010,57,"[50,60)",50-59
Valle d'Aosta,1912,57,"[50,60)",50-59
Liguria,24459,57,"[50,60)",50-59
Lombardia,147857,57,"[50,60)",50-59
Trentino Alto Adige / Südtirol,15781,57,"[50,60)",50-59
P.A. Bolzano,7830,57,"[50,60)",50-59
P.A. Trento,7951,57,"[50,60)",50-59
Veneto,75880,57,"[50,60)",50-59
Friuli Venezia Giulia,18680,57,"[50,60)",50-59
Emilia-Romagna,66450,57,"[50,60)",50-59
Piemonte,64262,58,"[50,60)",50-59
Valle d'Aosta,1940,58,"[50,60)",50-59
Liguria,23668,58,"[50,60)",50-59
Lombardia,143184,58,"[50,60)",50-59
Trentino Alto Adige / Südtirol,15752,58,"[50,60)",50-59
P.A. Bolzano,7585,58,"[50,60)",50-59
P.A. Trento,8167,58,"[50,60)",50-59
Veneto,74210,58,"[50,60)",50-59
Friuli Venezia Giulia,18219,58,"[50,60)",50-59
Emilia-Romagna,64992,58,"[50,60)",50-59
Toscana,54466,58,"[50,60)",50-59
Umbria,12907,58,"[50,60)",50-59
Marche,22636,58,"[50,60)",50-59
Lazio,85679,58,"[50,60)",50-59
Abruzzo,19039,58,"[50,60)",50-59
Molise,4524,58,"[50,60)",50-59
Campania,82037,58,"[50,60)",50-59
Puglia,57131,58,"[50,60)",50-59
Basilicata,8555,58,"[50,60)",50-59
Calabria,27957,58,"[50,60)",50-59
Sicilia,69770,58,"[50,60)",50-59
Sardegna,25451,58,"[50,60)",50-59
Piemonte,62176,59,"[50,60)",50-59
Valle d'Aosta,1761,59,"[50,60)",50-59
Sicilia,69753,59,"[50,60)",50-59
Sardegna,24662,59,"[50,60)",50-59
Liguria,22830,59,"[50,60)",50-59
Lombardia,138042,59,"[50,60)",50-59
Trentino Alto Adige / Südtirol,15072,59,"[50,60)",50-59
P.A. Bolzano,7256,59,"[50,60)",50-59
P.A. Trento,7816,59,"[50,60)",50-59
Veneto,70077,59,"[50,60)",50-59
Friuli Venezia Giulia,17597,59,"[50,60)",50-59
Emilia-Romagna,62930,59,"[50,60)",50-59
Toscana,52794,59,"[50,60)",50-59
Umbria,12722,59,"[50,60)",50-59
Marche,21795,59,"[50,60)",50-59
Lazio,82008,59,"[50,60)",50-59
Abruzzo,18712,59,"[50,60)",50-59
Molise,4637,59,"[50,60)",50-59
Campania,78481,59,"[50,60)",50-59
Puglia,55557,59,"[50,60)",50-59
Basilicata,8384,59,"[50,60)",50-59
Calabria,27657,59,"[50,60)",50-59
Piemonte,60580,60,"[60,70)",60-69
Valle d'Aosta,1857,60,"[60,70)",60-69
Liguria,22619,60,"[60,70)",60-69
Lombardia,133949,60,"[60,70)",60-69
Trentino Alto Adige / Südtirol,14544,60,"[60,70)",60-69
P.A. Bolzano,6954,60,"[60,70)",60-69
P.A. Trento,7590,60,"[60,70)",60-69
Veneto,69527,60,"[60,70)",60-69
Friuli Venezia Giulia,17347,60,"[60,70)",60-69
Emilia-Romagna,61429,60,"[60,70)",60-69
Toscana,51500,60,"[60,70)",60-69
Umbria,12188,60,"[60,70)",60-69
Marche,21200,60,"[60,70)",60-69
Lazio,79288,60,"[60,70)",60-69
Abruzzo,18421,60,"[60,70)",60-69
Molise,4444,60,"[60,70)",60-69
Campania,77176,60,"[60,70)",60-69
Puglia,54177,60,"[60,70)",60-69
Basilicata,8051,60,"[60,70)",60-69
Calabria,26960,60,"[60,70)",60-69
Sicilia,66165,60,"[60,70)",60-69
Sardegna,24117,60,"[60,70)",60-69
Sardegna,23682,61,"[60,70)",60-69
Basilicata,7763,61,"[60,70)",60-69
Sicilia,63998,61,"[60,70)",60-69
Puglia,51287,61,"[60,70)",60-69
Calabria,25056,61,"[60,70)",60-69
Piemonte,58898,61,"[60,70)",60-69
Valle d'Aosta,1666,61,"[60,70)",60-69
Liguria,21614,61,"[60,70)",60-69
Lombardia,127416,61,"[60,70)",60-69
Trentino Alto Adige / Südtirol,13645,61,"[60,70)",60-69
P.A. Bolzano,6499,61,"[60,70)",60-69
P.A. Trento,7146,61,"[60,70)",60-69
Veneto,65103,61,"[60,70)",60-69
Friuli Venezia Giulia,16354,61,"[60,70)",60-69
Emilia-Romagna,58440,61,"[60,70)",60-69
Toscana,49497,61,"[60,70)",60-69
Umbria,11533,61,"[60,70)",60-69
Abruzzo,17733,61,"[60,70)",60-69
Molise,4204,61,"[60,70)",60-69
Campania,73066,61,"[60,70)",60-69
Marche,20562,61,"[60,70)",60-69
Lazio,75814,61,"[60,70)",60-69
Piemonte,58516,62,"[60,70)",60-69
Valle d'Aosta,1661,62,"[60,70)",60-69
Liguria,21355,62,"[60,70)",60-69
Lombardia,124714,62,"[60,70)",60-69
Trentino Alto Adige / Südtirol,13352,62,"[60,70)",60-69
P.A. Bolzano,6269,62,"[60,70)",60-69
P.A. Trento,7083,62,"[60,70)",60-69
Veneto,63594,62,"[60,70)",60-69
Friuli Venezia Giulia,15961,62,"[60,70)",60-69
Emilia-Romagna,57966,62,"[60,70)",60-69
Toscana,48339,62,"[60,70)",60-69
Umbria,11285,62,"[60,70)",60-69
Marche,20083,62,"[60,70)",60-69
Lazio,74285,62,"[60,70)",60-69
Abruzzo,17472,62,"[60,70)",60-69
Molise,4204,62,"[60,70)",60-69
Campania,71977,62,"[60,70)",60-69
Puglia,51927,62,"[60,70)",60-69
Basilicata,7606,62,"[60,70)",60-69
Calabria,25763,62,"[60,70)",60-69
Sicilia,63784,62,"[60,70)",60-69
Sardegna,23647,62,"[60,70)",60-69
Piemonte,57123,63,"[60,70)",60-69
Valle d'Aosta,1598,63,"[60,70)",60-69
Liguria,20763,63,"[60,70)",60-69
Lombardia,122405,63,"[60,70)",60-69
Trentino Alto Adige / Südtirol,12891,63,"[60,70)",60-69
Basilicata,7725,63,"[60,70)",60-69
Calabria,24875,63,"[60,70)",60-69
Sicilia,62144,63,"[60,70)",60-69
Sardegna,23132,63,"[60,70)",60-69
P.A. Bolzano,5928,63,"[60,70)",60-69
P.A. Trento,6963,63,"[60,70)",60-69
Veneto,62342,63,"[60,70)",60-69
Friuli Venezia Giulia,15747,63,"[60,70)",60-69
Emilia-Romagna,56909,63,"[60,70)",60-69
Toscana,47620,63,"[60,70)",60-69
Umbria,11469,63,"[60,70)",60-69
Marche,20198,63,"[60,70)",60-69
Lazio,72422,63,"[60,70)",60-69
Abruzzo,17178,63,"[60,70)",60-69
Molise,4197,63,"[60,70)",60-69
Campania,68582,63,"[60,70)",60-69
Puglia,50411,63,"[60,70)",60-69
Sardegna,22390,64,"[60,70)",60-69
Piemonte,55970,64,"[60,70)",60-69
Valle d'Aosta,1622,64,"[60,70)",60-69
Liguria,20083,64,"[60,70)",60-69
Lombardia,118648,64,"[60,70)",60-69
Trentino Alto Adige / Südtirol,12320,64,"[60,70)",60-69
P.A. Bolzano,5621,64,"[60,70)",60-69
P.A. Trento,6699,64,"[60,70)",60-69
Veneto,59960,64,"[60,70)",60-69
Friuli Venezia Giulia,15377,64,"[60,70)",60-69
Emilia-Romagna,54473,64,"[60,70)",60-69
Toscana,46609,64,"[60,70)",60-69
Umbria,11175,64,"[60,70)",60-69
Marche,19403,64,"[60,70)",60-69
Lazio,71015,64,"[60,70)",60-69
Abruzzo,17188,64,"[60,70)",60-69
Molise,4121,64,"[60,70)",60-69
Campania,69129,64,"[60,70)",60-69
Puglia,49916,64,"[60,70)",60-69
Basilicata,7406,64,"[60,70)",60-69
Calabria,24673,64,"[60,70)",60-69
Sicilia,61780,64,"[60,70)",60-69
Piemonte,55161,65,"[60,70)",60-69
Valle d'Aosta,1592,65,"[60,70)",60-69
Liguria,19979,65,"[60,70)",60-69
Lombardia,115894,65,"[60,70)",60-69
Trentino Alto Adige / Südtirol,11901,65,"[60,70)",60-69
P.A. Bolzano,5400,65,"[60,70)",60-69
P.A. Trento,6501,65,"[60,70)",60-69
Veneto,58876,65,"[60,70)",60-69
Friuli Venezia Giulia,15102,65,"[60,70)",60-69
Emilia-Romagna,52880,65,"[60,70)",60-69
Toscana,46049,65,"[60,70)",60-69
Umbria,10886,65,"[60,70)",60-69
Marche,18696,65,"[60,70)",60-69
Lazio,69454,65,"[60,70)",60-69
Abruzzo,16796,65,"[60,70)",60-69
Molise,4158,65,"[60,70)",60-69
Campania,68139,65,"[60,70)",60-69
Puglia,48418,65,"[60,70)",60-69
Basilicata,7396,65,"[60,70)",60-69
Calabria,24475,65,"[60,70)",60-69
Sicilia,61081,65,"[60,70)",60-69
Sardegna,22651,65,"[60,70)",60-69
Trentino Alto Adige / Südtirol,11688,66,"[60,70)",60-69
P.A. Bolzano,5285,66,"[60,70)",60-69
P.A. Trento,6403,66,"[60,70)",60-69
Veneto,56779,66,"[60,70)",60-69
Friuli Venezia Giulia,15000,66,"[60,70)",60-69
Emilia-Romagna,50532,66,"[60,70)",60-69
Toscana,43629,66,"[60,70)",60-69
Umbria,10689,66,"[60,70)",60-69
Marche,18150,66,"[60,70)",60-69
Lazio,65275,66,"[60,70)",60-69
Abruzzo,15728,66,"[60,70)",60-69
Molise,3786,66,"[60,70)",60-69
Campania,62292,66,"[60,70)",60-69
Puglia,46694,66,"[60,70)",60-69
Basilicata,6810,66,"[60,70)",60-69
Piemonte,53151,66,"[60,70)",60-69
Valle d'Aosta,1560,66,"[60,70)",60-69
Liguria,19302,66,"[60,70)",60-69
Lombardia,111738,66,"[60,70)",60-69
Calabria,23045,66,"[60,70)",60-69
Sicilia,56152,66,"[60,70)",60-69
Sardegna,21488,66,"[60,70)",60-69
Trentino Alto Adige / Südtirol,11354,67,"[60,70)",60-69
P.A. Bolzano,5116,67,"[60,70)",60-69
P.A. Trento,6238,67,"[60,70)",60-69
Veneto,55612,67,"[60,70)",60-69
Friuli Venezia Giulia,14809,67,"[60,70)",60-69
Emilia-Romagna,49703,67,"[60,70)",60-69
Toscana,43128,67,"[60,70)",60-69
Umbria,10082,67,"[60,70)",60-69
Marche,18060,67,"[60,70)",60-69
Abruzzo,15599,67,"[60,70)",60-69
Molise,3912,67,"[60,70)",60-69
Piemonte,52941,67,"[60,70)",60-69
Valle d'Aosta,1493,67,"[60,70)",60-69
Liguria,18664,67,"[60,70)",60-69
Lazio,63408,67,"[60,70)",60-69
Campania,60040,67,"[60,70)",60-69
Puglia,44689,67,"[60,70)",60-69
Basilicata,6704,67,"[60,70)",60-69
Calabria,21745,67,"[60,70)",60-69
Sicilia,55395,67,"[60,70)",60-69
Sardegna,21132,67,"[60,70)",60-69
Lombardia,111032,67,"[60,70)",60-69
Piemonte,51885,68,"[60,70)",60-69
Valle d'Aosta,1510,68,"[60,70)",60-69
Liguria,18617,68,"[60,70)",60-69
Lombardia,109629,68,"[60,70)",60-69
Trentino Alto Adige / Südtirol,11019,68,"[60,70)",60-69
P.A. Bolzano,4944,68,"[60,70)",60-69
P.A. Trento,6075,68,"[60,70)",60-69
Veneto,54670,68,"[60,70)",60-69
Friuli Venezia Giulia,14594,68,"[60,70)",60-69
Emilia-Romagna,48825,68,"[60,70)",60-69
Toscana,42836,68,"[60,70)",60-69
Marche,18280,68,"[60,70)",60-69
Lazio,62378,68,"[60,70)",60-69
Abruzzo,15596,68,"[60,70)",60-69
Molise,3605,68,"[60,70)",60-69
Campania,59873,68,"[60,70)",60-69
Puglia,46067,68,"[60,70)",60-69
Basilicata,6568,68,"[60,70)",60-69
Calabria,22154,68,"[60,70)",60-69
Sicilia,54596,68,"[60,70)",60-69
Sardegna,20698,68,"[60,70)",60-69
Umbria,10556,68,"[60,70)",60-69
Piemonte,54006,69,"[60,70)",60-69
Liguria,19779,69,"[60,70)",60-69
Lombardia,113693,69,"[60,70)",60-69
P.A. Bolzano,5025,69,"[60,70)",60-69
P.A. Trento,6329,69,"[60,70)",60-69
Friuli Venezia Giulia,15498,69,"[60,70)",60-69
Emilia-Romagna,51054,69,"[60,70)",60-69
Calabria,22469,69,"[60,70)",60-69
Sicilia,56106,69,"[60,70)",60-69
Sardegna,20704,69,"[60,70)",60-69
Valle d'Aosta,1501,69,"[60,70)",60-69
Trentino Alto Adige / Südtirol,11354,69,"[60,70)",60-69
Veneto,56747,69,"[60,70)",60-69
Toscana,44046,69,"[60,70)",60-69
Umbria,10676,69,"[60,70)",60-69
Marche,18534,69,"[60,70)",60-69
Lazio,63750,69,"[60,70)",60-69
Abruzzo,15994,69,"[60,70)",60-69
Molise,3878,69,"[60,70)",60-69
Campania,60593,69,"[60,70)",60-69
Puglia,47314,69,"[60,70)",60-69
Basilicata,6788,69,"[60,70)",60-69
P.A. Trento,5946,70,"[70,80)",70-79
Veneto,55693,70,"[70,80)",70-79
Friuli Venezia Giulia,15212,70,"[70,80)",70-79
Piemonte,54376,70,"[70,80)",70-79
Valle d'Aosta,1582,70,"[70,80)",70-79
Liguria,19963,70,"[70,80)",70-79
Lombardia,114336,70,"[70,80)",70-79
Trentino Alto Adige / Südtirol,10821,70,"[70,80)",70-79
P.A. Bolzano,4875,70,"[70,80)",70-79
Emilia-Romagna,51451,70,"[70,80)",70-79
Toscana,45862,70,"[70,80)",70-79
Umbria,11005,70,"[70,80)",70-79
Marche,17853,70,"[70,80)",70-79
Lazio,63403,70,"[70,80)",70-79
Abruzzo,16233,70,"[70,80)",70-79
Molise,4030,70,"[70,80)",70-79
Campania,60189,70,"[70,80)",70-79
Puglia,46899,70,"[70,80)",70-79
Basilicata,6820,70,"[70,80)",70-79
Calabria,22360,70,"[70,80)",70-79
Sicilia,56049,70,"[70,80)",70-79
Sardegna,20003,70,"[70,80)",70-79
Emilia-Romagna,54078,71,"[70,80)",70-79
Veneto,57082,71,"[70,80)",70-79
P.A. Trento,6070,71,"[70,80)",70-79
Basilicata,6979,71,"[70,80)",70-79
Trentino Alto Adige / Südtirol,11131,71,"[70,80)",70-79
P.A. Bolzano,5061,71,"[70,80)",70-79
Sardegna,20252,71,"[70,80)",70-79
Lombardia,117752,71,"[70,80)",70-79
Calabria,22483,71,"[70,80)",70-79
Sicilia,57555,71,"[70,80)",70-79
Marche,18308,71,"[70,80)",70-79
Toscana,48626,71,"[70,80)",70-79
Umbria,11713,71,"[70,80)",70-79
Lazio,66355,71,"[70,80)",70-79
Campania,61147,71,"[70,80)",70-79
Puglia,49398,71,"[70,80)",70-79
Abruzzo,16349,71,"[70,80)",70-79
Molise,3905,71,"[70,80)",70-79
Friuli Venezia Giulia,16138,71,"[70,80)",70-79
Piemonte,56949,71,"[70,80)",70-79
Valle d'Aosta,1595,71,"[70,80)",70-79
Liguria,21024,71,"[70,80)",70-79
Liguria,21505,72,"[70,80)",70-79
Lombardia,113502,72,"[70,80)",70-79
Trentino Alto Adige / Südtirol,10749,72,"[70,80)",70-79
P.A. Bolzano,4819,72,"[70,80)",70-79
P.A. Trento,5930,72,"[70,80)",70-79
Veneto,55342,72,"[70,80)",70-79
Friuli Venezia Giulia,16064,72,"[70,80)",70-79
Emilia-Romagna,53467,72,"[70,80)",70-79
Toscana,48299,72,"[70,80)",70-79
Umbria,10765,72,"[70,80)",70-79
Marche,17589,72,"[70,80)",70-79
Lazio,65262,72,"[70,80)",70-79
Piemonte,55359,72,"[70,80)",70-79
Valle d'Aosta,1481,72,"[70,80)",70-79
Abruzzo,15403,72,"[70,80)",70-79
Molise,3708,72,"[70,80)",70-79
Campania,58376,72,"[70,80)",70-79
Puglia,46130,72,"[70,80)",70-79
Basilicata,6282,72,"[70,80)",70-79
Calabria,21708,72,"[70,80)",70-79
Sicilia,56284,72,"[70,80)",70-79
Sardegna,19302,72,"[70,80)",70-79
Piemonte,53609,73,"[70,80)",70-79
Valle d'Aosta,1408,73,"[70,80)",70-79
Liguria,21477,73,"[70,80)",70-79
Lombardia,115962,73,"[70,80)",70-79
Trentino Alto Adige / Südtirol,11443,73,"[70,80)",70-79
P.A. Bolzano,5228,73,"[70,80)",70-79
P.A. Trento,6215,73,"[70,80)",70-79
Veneto,59502,73,"[70,80)",70-79
Friuli Venezia Giulia,16760,73,"[70,80)",70-79
Emilia-Romagna,53910,73,"[70,80)",70-79
Toscana,48276,73,"[70,80)",70-79
Umbria,10288,73,"[70,80)",70-79
Marche,17545,73,"[70,80)",70-79
Lazio,62964,73,"[70,80)",70-79
Abruzzo,14841,73,"[70,80)",70-79
Molise,3408,73,"[70,80)",70-79
Campania,58268,73,"[70,80)",70-79
Puglia,45048,73,"[70,80)",70-79
Basilicata,5680,73,"[70,80)",70-79
Calabria,19731,73,"[70,80)",70-79
Sicilia,51046,73,"[70,80)",70-79
Sardegna,17913,73,"[70,80)",70-79
Piemonte,40698,74,"[70,80)",70-79
Valle d'Aosta,1082,74,"[70,80)",70-79
Liguria,15458,74,"[70,80)",70-79
Lombardia,84776,74,"[70,80)",70-79
Trentino Alto Adige / Südtirol,8139,74,"[70,80)",70-79
P.A. Bolzano,3818,74,"[70,80)",70-79
P.A. Trento,4321,74,"[70,80)",70-79
Veneto,40425,74,"[70,80)",70-79
Friuli Venezia Giulia,11362,74,"[70,80)",70-79
Emilia-Romagna,37788,74,"[70,80)",70-79
Toscana,37174,74,"[70,80)",70-79
Umbria,8207,74,"[70,80)",70-79
Marche,14410,74,"[70,80)",70-79
Lazio,48744,74,"[70,80)",70-79
Abruzzo,11066,74,"[70,80)",70-79
Molise,2641,74,"[70,80)",70-79
Campania,46997,74,"[70,80)",70-79
Puglia,37758,74,"[70,80)",70-79
Basilicata,4399,74,"[70,80)",70-79
Calabria,15234,74,"[70,80)",70-79
Sicilia,42761,74,"[70,80)",70-79
Sardegna,16626,74,"[70,80)",70-79
Piemonte,43227,75,"[70,80)",70-79
Valle d'Aosta,1148,75,"[70,80)",70-79
Liguria,17305,75,"[70,80)",70-79
Lombardia,89829,75,"[70,80)",70-79
Trentino Alto Adige / Südtirol,9262,75,"[70,80)",70-79
P.A. Bolzano,4477,75,"[70,80)",70-79
P.A. Trento,4785,75,"[70,80)",70-79
Veneto,46259,75,"[70,80)",70-79
Friuli Venezia Giulia,13440,75,"[70,80)",70-79
