regione,popolazione,eta,eta_class,eta_class2
Emilia-Romagna,41845,75,"[70,80)",70-79
Toscana,36787,75,"[70,80)",70-79
Umbria,8656,75,"[70,80)",70-79
Marche,13831,75,"[70,80)",70-79
Lazio,48387,75,"[70,80)",70-79
Abruzzo,11792,75,"[70,80)",70-79
Molise,2571,75,"[70,80)",70-79
Campania,39694,75,"[70,80)",70-79
Puglia,33739,75,"[70,80)",70-79
Basilicata,4319,75,"[70,80)",70-79
Calabria,15125,75,"[70,80)",70-79
Sicilia,40547,75,"[70,80)",70-79
Sardegna,16120,75,"[70,80)",70-79
Piemonte,42568,76,"[70,80)",70-79
Valle d'Aosta,1202,76,"[70,80)",70-79
Liguria,16708,76,"[70,80)",70-79
Lombardia,87799,76,"[70,80)",70-79
Trentino Alto Adige / Südtirol,9710,76,"[70,80)",70-79
P.A. Bolzano,4815,76,"[70,80)",70-79
P.A. Trento,4895,76,"[70,80)",70-79
Veneto,46642,76,"[70,80)",70-79
Friuli Venezia Giulia,13071,76,"[70,80)",70-79
Emilia-Romagna,41123,76,"[70,80)",70-79
Toscana,36527,76,"[70,80)",70-79
Umbria,8979,76,"[70,80)",70-79
Marche,14424,76,"[70,80)",70-79
Lazio,50014,76,"[70,80)",70-79
Abruzzo,11286,76,"[70,80)",70-79
Molise,2395,76,"[70,80)",70-79
Campania,42313,76,"[70,80)",70-79
Puglia,33283,76,"[70,80)",70-79
Basilicata,4245,76,"[70,80)",70-79
Calabria,14777,76,"[70,80)",70-79
Sicilia,38149,76,"[70,80)",70-79
Sardegna,15409,76,"[70,80)",70-79
Piemonte,42562,77,"[70,80)",70-79
Valle d'Aosta,1186,77,"[70,80)",70-79
Lombardia,88391,77,"[70,80)",70-79
Trentino Alto Adige / Südtirol,9491,77,"[70,80)",70-79
Veneto,44644,77,"[70,80)",70-79
Sardegna,15587,77,"[70,80)",70-79
Liguria,16967,77,"[70,80)",70-79
P.A. Bolzano,4692,77,"[70,80)",70-79
P.A. Trento,4799,77,"[70,80)",70-79
Friuli Venezia Giulia,13001,77,"[70,80)",70-79
Emilia-Romagna,39912,77,"[70,80)",70-79
Toscana,34616,77,"[70,80)",70-79
Umbria,8195,77,"[70,80)",70-79
Marche,13535,77,"[70,80)",70-79
Lazio,47928,77,"[70,80)",70-79
Abruzzo,10827,77,"[70,80)",70-79
Molise,2297,77,"[70,80)",70-79
Campania,39699,77,"[70,80)",70-79
Puglia,33583,77,"[70,80)",70-79
Basilicata,4181,77,"[70,80)",70-79
Calabria,14505,77,"[70,80)",70-79
Sicilia,37239,77,"[70,80)",70-79
Piemonte,42430,78,"[70,80)",70-79
Valle d'Aosta,1183,78,"[70,80)",70-79
Liguria,17282,78,"[70,80)",70-79
Lombardia,88964,78,"[70,80)",70-79
Trentino Alto Adige / Südtirol,9344,78,"[70,80)",70-79
P.A. Bolzano,4671,78,"[70,80)",70-79
P.A. Trento,4673,78,"[70,80)",70-79
Veneto,43629,78,"[70,80)",70-79
Friuli Venezia Giulia,12960,78,"[70,80)",70-79
Emilia-Romagna,40284,78,"[70,80)",70-79
Toscana,35234,78,"[70,80)",70-79
Umbria,8199,78,"[70,80)",70-79
Marche,13414,78,"[70,80)",70-79
Lazio,47634,78,"[70,80)",70-79
Abruzzo,10736,78,"[70,80)",70-79
Molise,2523,78,"[70,80)",70-79
Campania,37467,78,"[70,80)",70-79
Puglia,31336,78,"[70,80)",70-79
Basilicata,4124,78,"[70,80)",70-79
Calabria,13777,78,"[70,80)",70-79
Sicilia,36582,78,"[70,80)",70-79
Sardegna,14214,78,"[70,80)",70-79
Piemonte,45638,79,"[70,80)",70-79
Valle d'Aosta,1222,79,"[70,80)",70-79
Liguria,18345,79,"[70,80)",70-79
Lombardia,94898,79,"[70,80)",70-79
Trentino Alto Adige / Südtirol,8839,79,"[70,80)",70-79
P.A. Bolzano,4157,79,"[70,80)",70-79
P.A. Trento,4682,79,"[70,80)",70-79
Veneto,45225,79,"[70,80)",70-79
Friuli Venezia Giulia,13401,79,"[70,80)",70-79
Emilia-Romagna,43271,79,"[70,80)",70-79
Toscana,38750,79,"[70,80)",70-79
Umbria,8997,79,"[70,80)",70-79
Marche,15032,79,"[70,80)",70-79
Lazio,51316,79,"[70,80)",70-79
Abruzzo,12039,79,"[70,80)",70-79
Molise,2813,79,"[70,80)",70-79
Campania,40230,79,"[70,80)",70-79
Puglia,33360,79,"[70,80)",70-79
Basilicata,4776,79,"[70,80)",70-79
Calabria,15508,79,"[70,80)",70-79
Sicilia,40753,79,"[70,80)",70-79
Sardegna,15431,79,"[70,80)",70-79
Toscana,36741,80,"[80,90)",80-89
Umbria,8659,80,"[80,90)",80-89
Marche,15066,80,"[80,90)",80-89
Lazio,48404,80,"[80,90)",80-89
Abruzzo,11902,80,"[80,90)",80-89
Molise,2933,80,"[80,90)",80-89
Campania,38307,80,"[80,90)",80-89
Puglia,32234,80,"[80,90)",80-89
Basilicata,4871,80,"[80,90)",80-89
Calabria,14773,80,"[80,90)",80-89
Sicilia,38195,80,"[80,90)",80-89
Sardegna,14178,80,"[80,90)",80-89
Piemonte,44405,80,"[80,90)",80-89
Valle d'Aosta,1114,80,"[80,90)",80-89
Liguria,17679,80,"[80,90)",80-89
Lombardia,90760,80,"[80,90)",80-89
Trentino Alto Adige / Südtirol,8367,80,"[80,90)",80-89
P.A. Bolzano,4061,80,"[80,90)",80-89
P.A. Trento,4306,80,"[80,90)",80-89
Veneto,43265,80,"[80,90)",80-89
Friuli Venezia Giulia,12443,80,"[80,90)",80-89
Emilia-Romagna,41788,80,"[80,90)",80-89
Piemonte,42233,81,"[80,90)",80-89
Valle d'Aosta,1118,81,"[80,90)",80-89
Liguria,16903,81,"[80,90)",80-89
Lombardia,85531,81,"[80,90)",80-89
Trentino Alto Adige / Südtirol,7688,81,"[80,90)",80-89
P.A. Bolzano,3621,81,"[80,90)",80-89
P.A. Trento,4067,81,"[80,90)",80-89
Veneto,40421,81,"[80,90)",80-89
Friuli Venezia Giulia,11654,81,"[80,90)",80-89
Emilia-Romagna,40600,81,"[80,90)",80-89
Toscana,35999,81,"[80,90)",80-89
Umbria,8619,81,"[80,90)",80-89
Marche,14764,81,"[80,90)",80-89
Lazio,45267,81,"[80,90)",80-89
Abruzzo,10598,81,"[80,90)",80-89
Molise,2442,81,"[80,90)",80-89
Campania,34281,81,"[80,90)",80-89
Puglia,29672,81,"[80,90)",80-89
Basilicata,4548,81,"[80,90)",80-89
Calabria,13634,81,"[80,90)",80-89
Sicilia,35414,81,"[80,90)",80-89
Sardegna,12485,81,"[80,90)",80-89
Piemonte,37401,82,"[80,90)",80-89
Valle d'Aosta,975,82,"[80,90)",80-89
Liguria,15244,82,"[80,90)",80-89
Lombardia,74385,82,"[80,90)",80-89
Trentino Alto Adige / Südtirol,6778,82,"[80,90)",80-89
P.A. Bolzano,3203,82,"[80,90)",80-89
P.A. Trento,3575,82,"[80,90)",80-89
Veneto,35609,82,"[80,90)",80-89
Friuli Venezia Giulia,10352,82,"[80,90)",80-89
Emilia-Romagna,35471,82,"[80,90)",80-89
Toscana,31568,82,"[80,90)",80-89
Umbria,7443,82,"[80,90)",80-89
Marche,12923,82,"[80,90)",80-89
Lazio,40468,82,"[80,90)",80-89
Abruzzo,10210,82,"[80,90)",80-89
Molise,2406,82,"[80,90)",80-89
Puglia,27231,82,"[80,90)",80-89
Basilicata,4415,82,"[80,90)",80-89
Calabria,12649,82,"[80,90)",80-89
Sicilia,30774,82,"[80,90)",80-89
Sardegna,11308,82,"[80,90)",80-89
Campania,31460,82,"[80,90)",80-89
Valle d'Aosta,851,83,"[80,90)",80-89
Lombardia,65275,83,"[80,90)",80-89
Piemonte,33293,83,"[80,90)",80-89
Veneto,31710,83,"[80,90)",80-89
Lazio,36413,83,"[80,90)",80-89
Liguria,13592,83,"[80,90)",80-89
Marche,11521,83,"[80,90)",80-89
Trentino Alto Adige / Südtirol,6169,83,"[80,90)",80-89
P.A. Bolzano,2913,83,"[80,90)",80-89
P.A. Trento,3256,83,"[80,90)",80-89
Friuli Venezia Giulia,9160,83,"[80,90)",80-89
Emilia-Romagna,31284,83,"[80,90)",80-89
Toscana,27807,83,"[80,90)",80-89
Umbria,6652,83,"[80,90)",80-89
Abruzzo,9233,83,"[80,90)",80-89
Molise,2351,83,"[80,90)",80-89
Campania,27907,83,"[80,90)",80-89
Puglia,24259,83,"[80,90)",80-89
Basilicata,4049,83,"[80,90)",80-89
Calabria,11992,83,"[80,90)",80-89
Sicilia,28799,83,"[80,90)",80-89
Sardegna,10617,83,"[80,90)",80-89
Campania,26861,84,"[80,90)",80-89
Piemonte,32107,84,"[80,90)",80-89
Valle d'Aosta,764,84,"[80,90)",80-89
Liguria,12881,84,"[80,90)",80-89
Lombardia,63704,84,"[80,90)",80-89
Trentino Alto Adige / Südtirol,5847,84,"[80,90)",80-89
P.A. Bolzano,2666,84,"[80,90)",80-89
P.A. Trento,3181,84,"[80,90)",80-89
Veneto,30724,84,"[80,90)",80-89
Friuli Venezia Giulia,8556,84,"[80,90)",80-89
Emilia-Romagna,31628,84,"[80,90)",80-89
Toscana,27321,84,"[80,90)",80-89
Marche,11486,84,"[80,90)",80-89
Lazio,34924,84,"[80,90)",80-89
Abruzzo,8885,84,"[80,90)",80-89
Molise,2230,84,"[80,90)",80-89
Puglia,23256,84,"[80,90)",80-89
Basilicata,3774,84,"[80,90)",80-89
Calabria,11467,84,"[80,90)",80-89
Sicilia,27341,84,"[80,90)",80-89
Sardegna,9341,84,"[80,90)",80-89
Umbria,6480,84,"[80,90)",80-89
Piemonte,28730,85,"[80,90)",80-89
Valle d'Aosta,682,85,"[80,90)",80-89
Liguria,11630,85,"[80,90)",80-89
Lombardia,56653,85,"[80,90)",80-89
Trentino Alto Adige / Südtirol,5422,85,"[80,90)",80-89
P.A. Bolzano,2556,85,"[80,90)",80-89
P.A. Trento,2866,85,"[80,90)",80-89
Veneto,28013,85,"[80,90)",80-89
Friuli Venezia Giulia,7495,85,"[80,90)",80-89
Emilia-Romagna,29281,85,"[80,90)",80-89
Toscana,24152,85,"[80,90)",80-89
Marche,10350,85,"[80,90)",80-89
Lazio,31562,85,"[80,90)",80-89
Abruzzo,8051,85,"[80,90)",80-89
Molise,2138,85,"[80,90)",80-89
Umbria,6038,85,"[80,90)",80-89
Campania,23599,85,"[80,90)",80-89
Puglia,21351,85,"[80,90)",80-89
Basilicata,3646,85,"[80,90)",80-89
Calabria,10496,85,"[80,90)",80-89
Sicilia,25747,85,"[80,90)",80-89
Sardegna,9221,85,"[80,90)",80-89
Piemonte,25441,86,"[80,90)",80-89
Liguria,10754,86,"[80,90)",80-89
Lombardia,50629,86,"[80,90)",80-89
P.A. Bolzano,2394,86,"[80,90)",80-89
P.A. Trento,2602,86,"[80,90)",80-89
Valle d'Aosta,675,86,"[80,90)",80-89
Trentino Alto Adige / Südtirol,4996,86,"[80,90)",80-89
Veneto,23917,86,"[80,90)",80-89
Friuli Venezia Giulia,6786,86,"[80,90)",80-89
Emilia-Romagna,25567,86,"[80,90)",80-89
Toscana,21910,86,"[80,90)",80-89
Umbria,5531,86,"[80,90)",80-89
Marche,9321,86,"[80,90)",80-89
Lazio,27834,86,"[80,90)",80-89
Abruzzo,7676,86,"[80,90)",80-89
Molise,1939,86,"[80,90)",80-89
Campania,21981,86,"[80,90)",80-89
Puglia,18929,86,"[80,90)",80-89
Basilicata,3269,86,"[80,90)",80-89
Calabria,9918,86,"[80,90)",80-89
Sicilia,23276,86,"[80,90)",80-89
Sardegna,8448,86,"[80,90)",80-89
Piemonte,23181,87,"[80,90)",80-89
Valle d'Aosta,572,87,"[80,90)",80-89
Liguria,9935,87,"[80,90)",80-89
Lombardia,45748,87,"[80,90)",80-89
Trentino Alto Adige / Südtirol,4523,87,"[80,90)",80-89
P.A. Bolzano,2133,87,"[80,90)",80-89
P.A. Trento,2390,87,"[80,90)",80-89
Veneto,21956,87,"[80,90)",80-89
Friuli Venezia Giulia,6167,87,"[80,90)",80-89
Emilia-Romagna,22390,87,"[80,90)",80-89
Toscana,19539,87,"[80,90)",80-89
Umbria,4716,87,"[80,90)",80-89
Marche,7928,87,"[80,90)",80-89
Lazio,24289,87,"[80,90)",80-89
Abruzzo,6435,87,"[80,90)",80-89
Molise,1650,87,"[80,90)",80-89
Campania,19189,87,"[80,90)",80-89
Puglia,16787,87,"[80,90)",80-89
Basilicata,2777,87,"[80,90)",80-89
Calabria,8623,87,"[80,90)",80-89
Sicilia,19702,87,"[80,90)",80-89
Sardegna,7299,87,"[80,90)",80-89
Piemonte,20849,88,"[80,90)",80-89
Valle d'Aosta,532,88,"[80,90)",80-89
Liguria,8900,88,"[80,90)",80-89
Lombardia,40549,88,"[80,90)",80-89
Trentino Alto Adige / Südtirol,4036,88,"[80,90)",80-89
P.A. Trento,2153,88,"[80,90)",80-89
Veneto,19431,88,"[80,90)",80-89
Friuli Venezia Giulia,5492,88,"[80,90)",80-89
Molise,1478,88,"[80,90)",80-89
Campania,16702,88,"[80,90)",80-89
Puglia,14899,88,"[80,90)",80-89
Basilicata,2462,88,"[80,90)",80-89
Calabria,7531,88,"[80,90)",80-89
Sicilia,17468,88,"[80,90)",80-89
P.A. Bolzano,1883,88,"[80,90)",80-89
Emilia-Romagna,20690,88,"[80,90)",80-89
Toscana,18021,88,"[80,90)",80-89
Umbria,4550,88,"[80,90)",80-89
Marche,7679,88,"[80,90)",80-89
Lazio,21993,88,"[80,90)",80-89
Abruzzo,5931,88,"[80,90)",80-89
Sardegna,6310,88,"[80,90)",80-89
Basilicata,2296,89,"[80,90)",80-89
Calabria,6637,89,"[80,90)",80-89
Sicilia,16414,89,"[80,90)",80-89
Sardegna,5965,89,"[80,90)",80-89
Valle d'Aosta,517,89,"[80,90)",80-89
Liguria,8292,89,"[80,90)",80-89
Piemonte,19072,89,"[80,90)",80-89
Lombardia,36243,89,"[80,90)",80-89
Trentino Alto Adige / Südtirol,3746,89,"[80,90)",80-89
P.A. Bolzano,1678,89,"[80,90)",80-89
P.A. Trento,2068,89,"[80,90)",80-89
Veneto,17984,89,"[80,90)",80-89
Friuli Venezia Giulia,5202,89,"[80,90)",80-89
Emilia-Romagna,18967,89,"[80,90)",80-89
Toscana,16595,89,"[80,90)",80-89
Umbria,4090,89,"[80,90)",80-89
Marche,6787,89,"[80,90)",80-89
Lazio,20224,89,"[80,90)",80-89
Abruzzo,5567,89,"[80,90)",80-89
Molise,1471,89,"[80,90)",80-89
Campania,14986,89,"[80,90)",80-89
Puglia,13606,89,"[80,90)",80-89
Piemonte,15213,90,"[90,100)",90+
Valle d'Aosta,412,90,"[90,100)",90+
Liguria,6801,90,"[90,100)",90+
Lombardia,29330,90,"[90,100)",90+
Trentino Alto Adige / Südtirol,3001,90,"[90,100)",90+
P.A. Bolzano,1341,90,"[90,100)",90+
P.A. Trento,1660,90,"[90,100)",90+
Veneto,14176,90,"[90,100)",90+
Friuli Venezia Giulia,4159,90,"[90,100)",90+
Emilia-Romagna,15279,90,"[90,100)",90+
Toscana,13374,90,"[90,100)",90+
Umbria,3236,90,"[90,100)",90+
Marche,5386,90,"[90,100)",90+
Lazio,15731,90,"[90,100)",90+
Abruzzo,4339,90,"[90,100)",90+
Molise,1140,90,"[90,100)",90+
Campania,11719,90,"[90,100)",90+
Puglia,10552,90,"[90,100)",90+
Basilicata,1856,90,"[90,100)",90+
Calabria,5285,90,"[90,100)",90+
Sicilia,12198,90,"[90,100)",90+
Sardegna,4833,90,"[90,100)",90+
Piemonte,12224,91,"[90,100)",90+
Valle d'Aosta,342,91,"[90,100)",90+
Liguria,5576,91,"[90,100)",90+
P.A. Trento,1412,91,"[90,100)",90+
Toscana,11330,91,"[90,100)",90+
Umbria,2734,91,"[90,100)",90+
Marche,4663,91,"[90,100)",90+
Lazio,12883,91,"[90,100)",90+
Abruzzo,3578,91,"[90,100)",90+
Molise,911,91,"[90,100)",90+
Campania,9629,91,"[90,100)",90+
Puglia,8831,91,"[90,100)",90+
Basilicata,1470,91,"[90,100)",90+
Calabria,4295,91,"[90,100)",90+
Sicilia,10251,91,"[90,100)",90+
Sardegna,4046,91,"[90,100)",90+
Lombardia,24052,91,"[90,100)",90+
Trentino Alto Adige / Südtirol,2538,91,"[90,100)",90+
P.A. Bolzano,1126,91,"[90,100)",90+
Veneto,12283,91,"[90,100)",90+
Friuli Venezia Giulia,3518,91,"[90,100)",90+
Emilia-Romagna,13079,91,"[90,100)",90+
Umbria,2378,92,"[90,100)",90+
Marche,4051,92,"[90,100)",90+
Lazio,10436,92,"[90,100)",90+
Campania,7496,92,"[90,100)",90+
Abruzzo,3089,92,"[90,100)",90+
Molise,816,92,"[90,100)",90+
Puglia,7351,92,"[90,100)",90+
Basilicata,1223,92,"[90,100)",90+
Calabria,3431,92,"[90,100)",90+
Sicilia,7817,92,"[90,100)",90+
Sardegna,3156,92,"[90,100)",90+
Piemonte,10073,92,"[90,100)",90+
Valle d'Aosta,268,92,"[90,100)",90+
Liguria,4571,92,"[90,100)",90+
Lombardia,19579,92,"[90,100)",90+
Trentino Alto Adige / Südtirol,2122,92,"[90,100)",90+
P.A. Bolzano,918,92,"[90,100)",90+
P.A. Trento,1204,92,"[90,100)",90+
Veneto,10319,92,"[90,100)",90+
Friuli Venezia Giulia,2977,92,"[90,100)",90+
Emilia-Romagna,10885,92,"[90,100)",90+
Toscana,9335,92,"[90,100)",90+
Piemonte,7696,93,"[90,100)",90+
Valle d'Aosta,214,93,"[90,100)",90+
Liguria,3586,93,"[90,100)",90+
Lombardia,15293,93,"[90,100)",90+
Trentino Alto Adige / Südtirol,1667,93,"[90,100)",90+
P.A. Bolzano,732,93,"[90,100)",90+
P.A. Trento,935,93,"[90,100)",90+
Veneto,7933,93,"[90,100)",90+
Friuli Venezia Giulia,2472,93,"[90,100)",90+
Emilia-Romagna,8623,93,"[90,100)",90+
Toscana,7381,93,"[90,100)",90+
Umbria,1856,93,"[90,100)",90+
Marche,3215,93,"[90,100)",90+
Lazio,8429,93,"[90,100)",90+
Abruzzo,2326,93,"[90,100)",90+
Molise,640,93,"[90,100)",90+
Campania,5754,93,"[90,100)",90+
Puglia,5421,93,"[90,100)",90+
Basilicata,937,93,"[90,100)",90+
Calabria,2799,93,"[90,100)",90+
Sicilia,6439,93,"[90,100)",90+
Sardegna,2602,93,"[90,100)",90+
Calabria,2126,94,"[90,100)",90+
Sicilia,4838,94,"[90,100)",90+
Piemonte,5813,94,"[90,100)",90+
Valle d'Aosta,166,94,"[90,100)",90+
Liguria,2808,94,"[90,100)",90+
Lombardia,11929,94,"[90,100)",90+
Trentino Alto Adige / Südtirol,1347,94,"[90,100)",90+
P.A. Bolzano,612,94,"[90,100)",90+
P.A. Trento,735,94,"[90,100)",90+
Veneto,6268,94,"[90,100)",90+
Friuli Venezia Giulia,1975,94,"[90,100)",90+
Emilia-Romagna,6974,94,"[90,100)",90+
Toscana,5678,94,"[90,100)",90+
Umbria,1510,94,"[90,100)",90+
Marche,2556,94,"[90,100)",90+
Sardegna,1814,94,"[90,100)",90+
Lazio,6231,94,"[90,100)",90+
Abruzzo,1789,94,"[90,100)",90+
Molise,456,94,"[90,100)",90+
Campania,4376,94,"[90,100)",90+
Puglia,4103,94,"[90,100)",90+
Basilicata,694,94,"[90,100)",90+
Piemonte,4291,95,"[90,100)",90+
Valle d'Aosta,102,95,"[90,100)",90+
Liguria,2100,95,"[90,100)",90+
Lombardia,8983,95,"[90,100)",90+
Trentino Alto Adige / Südtirol,1028,95,"[90,100)",90+
P.A. Bolzano,449,95,"[90,100)",90+
P.A. Trento,579,95,"[90,100)",90+
Veneto,4628,95,"[90,100)",90+
Friuli Venezia Giulia,1565,95,"[90,100)",90+
Emilia-Romagna,5314,95,"[90,100)",90+
Toscana,4419,95,"[90,100)",90+
Umbria,1150,95,"[90,100)",90+
Marche,1782,95,"[90,100)",90+
Lazio,4874,95,"[90,100)",90+
Abruzzo,1396,95,"[90,100)",90+
Molise,393,95,"[90,100)",90+
Campania,3194,95,"[90,100)",90+
Puglia,2975,95,"[90,100)",90+
Basilicata,483,95,"[90,100)",90+
Calabria,1670,95,"[90,100)",90+
Sicilia,3801,95,"[90,100)",90+
Sardegna,1501,95,"[90,100)",90+
Piemonte,3253,96,"[90,100)",90+
Valle d'Aosta,89,96,"[90,100)",90+
Puglia,2359,96,"[90,100)",90+
Basilicata,411,96,"[90,100)",90+
Calabria,1202,96,"[90,100)",90+
Sicilia,2514,96,"[90,100)",90+
Sardegna,1033,96,"[90,100)",90+
Liguria,1564,96,"[90,100)",90+
Lombardia,6634,96,"[90,100)",90+
Trentino Alto Adige / Südtirol,862,96,"[90,100)",90+
P.A. Bolzano,350,96,"[90,100)",90+
P.A. Trento,512,96,"[90,100)",90+
Veneto,3617,96,"[90,100)",90+
Friuli Venezia Giulia,1187,96,"[90,100)",90+
Emilia-Romagna,4012,96,"[90,100)",90+
Toscana,3304,96,"[90,100)",90+
Umbria,783,96,"[90,100)",90+
Marche,1368,96,"[90,100)",90+
Lazio,3618,96,"[90,100)",90+
Abruzzo,1002,96,"[90,100)",90+
Molise,269,96,"[90,100)",90+
Campania,2366,96,"[90,100)",90+
Piemonte,2411,97,"[90,100)",90+
Valle d'Aosta,63,97,"[90,100)",90+
Liguria,1174,97,"[90,100)",90+
Lombardia,4624,97,"[90,100)",90+
Sardegna,777,97,"[90,100)",90+
Trentino Alto Adige / Südtirol,633,97,"[90,100)",90+
P.A. Bolzano,276,97,"[90,100)",90+
P.A. Trento,357,97,"[90,100)",90+
Veneto,2412,97,"[90,100)",90+
Friuli Venezia Giulia,833,97,"[90,100)",90+
Emilia-Romagna,2809,97,"[90,100)",90+
Toscana,2292,97,"[90,100)",90+
Umbria,542,97,"[90,100)",90+
Marche,935,97,"[90,100)",90+
Lazio,2566,97,"[90,100)",90+
Abruzzo,745,97,"[90,100)",90+
Molise,219,97,"[90,100)",90+
Basilicata,291,97,"[90,100)",90+
Campania,1670,97,"[90,100)",90+
Puglia,1625,97,"[90,100)",90+
Calabria,814,97,"[90,100)",90+
Sicilia,1867,97,"[90,100)",90+
Piemonte,1610,98,"[90,100)",90+
Valle d'Aosta,49,98,"[90,100)",90+
Liguria,799,98,"[90,100)",90+
Lombardia,3328,98,"[90,100)",90+
Trentino Alto Adige / Südtirol,403,98,"[90,100)",90+
P.A. Bolzano,167,98,"[90,100)",90+
P.A. Trento,236,98,"[90,100)",90+
Veneto,1664,98,"[90,100)",90+
Friuli Venezia Giulia,682,98,"[90,100)",90+
Emilia-Romagna,2008,98,"[90,100)",90+
Toscana,1681,98,"[90,100)",90+
Umbria,423,98,"[90,100)",90+
Marche,691,98,"[90,100)",90+
Lazio,1812,98,"[90,100)",90+
Abruzzo,526,98,"[90,100)",90+
Molise,162,98,"[90,100)",90+
Campania,1149,98,"[90,100)",90+
Puglia,1078,98,"[90,100)",90+
Basilicata,226,98,"[90,100)",90+
Calabria,567,98,"[90,100)",90+
Sicilia,1199,98,"[90,100)",90+
Sardegna,503,98,"[90,100)",90+
Sicilia,829,99,"[90,100)",90+
Sardegna,388,99,"[90,100)",90+
Piemonte,1008,99,"[90,100)",90+
Valle d'Aosta,29,99,"[90,100)",90+
Liguria,547,99,"[90,100)",90+
Lombardia,2093,99,"[90,100)",90+
Trentino Alto Adige / Südtirol,268,99,"[90,100)",90+
P.A. Bolzano,103,99,"[90,100)",90+
P.A. Trento,165,99,"[90,100)",90+
Veneto,1068,99,"[90,100)",90+
Friuli Venezia Giulia,426,99,"[90,100)",90+
Emilia-Romagna,1289,99,"[90,100)",90+
Umbria,249,99,"[90,100)",90+
Marche,446,99,"[90,100)",90+
Lazio,1230,99,"[90,100)",90+
Abruzzo,332,99,"[90,100)",90+
Toscana,1098,99,"[90,100)",90+
Molise,97,99,"[90,100)",90+
Campania,783,99,"[90,100)",90+
Puglia,725,99,"[90,100)",90+
Basilicata,107,99,"[90,100)",90+
Calabria,409,99,"[90,100)",90+
Trentino Alto Adige / Südtirol,218,100,"[100,110)",90+
P.A. Bolzano,91,100,"[100,110)",90+
P.A. Trento,127,100,"[100,110)",90+
Veneto,1142,100,"[100,110)",90+
Emilia-Romagna,1415,100,"[100,110)",90+
Piemonte,1096,100,"[100,110)",90+
Valle d'Aosta,30,100,"[100,110)",90+
Liguria,633,100,"[100,110)",90+
Lombardia,2318,100,"[100,110)",90+
Friuli Venezia Giulia,392,100,"[100,110)",90+
Toscana,1044,100,"[100,110)",90+
Umbria,278,100,"[100,110)",90+
Marche,447,100,"[100,110)",90+
Lazio,1417,100,"[100,110)",90+
Abruzzo,393,100,"[100,110)",90+
Molise,116,100,"[100,110)",90+
Campania,908,100,"[100,110)",90+
Puglia,882,100,"[100,110)",90+
Basilicata,125,100,"[100,110)",90+
Calabria,460,100,"[100,110)",90+
Sicilia,1032,100,"[100,110)",90+
Sardegna,458,100,"[100,110)",90+
